Nombre,Precio,Media,Total_puntos,Equipo,Puntos,Partidos,Minutos,Goles,Asistencias,Asistencias sin Gol,Centros,Despejes,Remates,Tiros,Recuperaciones,Perdidas,Penaltis fallados,Goles en contra,Rojas,Paradas,Penaltis cometidos,Amarillas,Seguna Amarilla,Penaltis provocados,Penaltis parados,Goles en PP
Foulquier,476.227€,,,Granada CF,82.0,38.0,920.0,3.0,0.0,2.0,2.0,2.0,8.0,11.0,39.0,128.0,0.0,15.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
Álex Moreno,524.810€,,,Real Betis,81.0,32.0,2580.0,0.0,4.0,2.0,6.0,44.0,28.0,3.0,154.0,400.0,0.0,48.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,1.0
Braithwaite,569.293€,,,FC Barcelona,80.0,35.0,1786.0,0.0,2.0,5.0,8.0,45.0,27.0,3.0,166.0,329.0,0.0,32.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0
De Marcos,627.516€,,,Athletic Club,80.0,32.0,1161.0,2.0,2.0,3.0,1.0,6.0,9.0,7.0,48.0,111.0,1.0,12.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Domingos Duarte,628.927€,,,Granada CF,79.0,31.0,1518.0,1.0,2.0,3.0,8.0,26.0,6.0,5.0,98.0,235.0,0.0,22.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Toni Villa,506.524€,,,Real Valladolid,79.0,29.0,2289.0,1.0,0.0,0.0,1.0,82.0,1.0,2.0,147.0,226.0,0.0,47.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0
Militão,483.300€,,,Real Madrid,79.0,36.0,969.0,2.0,0.0,1.0,8.0,2.0,23.0,5.0,58.0,190.0,0.0,11.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
Marcos André,19.097.763€,,,Real Valladolid,79.0,27.0,1134.0,1.0,0.0,0.0,1.0,40.0,2.0,3.0,89.0,89.0,0.0,7.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0
Pere Pons,501.445€,,,D. Alavés,78.0,23.0,1171.0,4.0,1.0,1.0,0.0,10.0,11.0,15.0,32.0,160.0,0.0,21.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0
Aidoo,546.631€,,,RC Celta,78.0,26.0,1180.0,2.0,0.0,2.0,3.0,9.0,8.0,4.0,75.0,140.0,0.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Miranda,504.711€,,,Real Betis,78.0,36.0,1283.0,0.0,0.0,1.0,0.0,87.0,2.0,0.0,115.0,131.0,0.0,22.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Guardado,682.360€,,,Real Betis,78.0,32.0,1560.0,1.0,2.0,2.0,9.0,45.0,4.0,3.0,83.0,274.0,0.0,17.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Montoro,535.029€,,,Granada CF,77.0,24.0,1321.0,1.0,0.0,0.0,1.0,16.0,13.0,5.0,137.0,163.0,0.0,20.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Barragán,488.214€,,,Elche CF,77.0,24.0,1356.0,1.0,1.0,5.0,27.0,18.0,4.0,2.0,95.0,239.0,0.0,21.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
El Yamiq,498.331€,,,Real Valladolid,77.0,32.0,2237.0,0.0,3.0,1.0,11.0,59.0,9.0,0.0,119.0,265.0,0.0,35.0,0.0,0.0,1.0,8.0,0.0,1.0,0.0,0.0
Esteban Burgos,523.882€,,,SD Eibar,77.0,23.0,1376.0,0.0,1.0,0.0,0.0,96.0,2.0,2.0,138.0,151.0,0.0,22.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0
Postigo,523.723€,,,Levante UD,76.0,36.0,1116.0,3.0,1.0,1.0,0.0,53.0,1.0,5.0,91.0,149.0,1.0,16.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
Kondogbia,478.271€,,,Atlético de Madrid,76.0,30.0,1624.0,0.0,0.0,0.0,2.0,84.0,3.0,0.0,123.0,159.0,0.0,28.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
