Nombre_x,Precio_x,Media,Total_puntos,posicion,equipo,Partidos,Minutos,Goles,Asistencias,Asistencias sin Gol,Centros,Despejes,Remates,Tiros,Recuperaciones,Perdidas,Penaltis fallados,Goles en contra,Rojas,Paradas,Penaltis cometidos,Amarillas,Seguna Amarilla,Penaltis provocados,Penaltis parados,Goles en PP
N. Paz,183000,1.0,2,mediocentro,Real Madrid Club de Fútbol,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N. Paz,183000,1.0,2,mediocentro,Real Madrid Club de Fútbol,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I. Kébé,164000,1.0,2,mediocentro,Girona Fútbol Club,,,,,,,,,,,,,,,,,,,,,
G. García,160000,1.0,2,delantero,Real Madrid Club de Fútbol,14.0,1260.0,3.0,4.0,5.0,38.0,27.0,3.0,5.0,102.0,160.0,0.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
G. García,160000,1.0,2,delantero,Real Madrid Club de Fútbol,13.0,1098.0,1.0,0.0,1.0,0.0,19.0,5.0,5.0,84.0,113.0,0.0,13.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
G. García,160000,1.0,2,delantero,Real Madrid Club de Fútbol,13.0,649.0,0.0,4.0,6.0,3.0,20.0,5.0,3.0,38.0,80.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
G. García,160000,1.0,2,delantero,Real Madrid Club de Fútbol,12.0,713.0,2.0,1.0,2.0,7.0,10.0,4.0,3.0,55.0,153.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G. García,160000,1.0,2,delantero,Real Madrid Club de Fútbol,14.0,688.0,2.0,0.0,1.0,1.0,8.0,8.0,12.0,24.0,98.0,1.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
G. García,160000,1.0,2,delantero,Real Madrid Club de Fútbol,12.0,871.0,0.0,2.0,2.0,1.0,6.0,5.0,2.0,47.0,85.0,0.0,13.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
G. García,160000,1.0,2,delantero,Real Madrid Club de Fútbol,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G. García,160000,1.0,2,delantero,Real Madrid Club de Fútbol,12.0,400.0,1.0,0.0,0.0,0.0,4.0,1.0,3.0,27.0,33.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
G. García,160000,1.0,2,delantero,Real Madrid Club de Fútbol,14.0,77.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,17.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
G. García,160000,1.0,2,delantero,Real Madrid Club de Fútbol,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A. Centelles,190000,0.7,2,defensa,Unión Deportiva Almería,,,,,,,,,,,,,,,,,,,,,
T. Lemar,160000,0.7,2,mediocentro,Club Atlético de Madrid,3.0,167.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,19.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T. Lemar,160000,0.7,2,mediocentro,Club Atlético de Madrid,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W. Manafá,169000,0.5,2,defensa,Granada Club de Fútbol,14.0,122.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,5.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W. Manafá,169000,0.5,2,defensa,Granada Club de Fútbol,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ç. Söyüncü,160000,0.3,2,defensa,Club Atlético de Madrid,7.0,30.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ç. Söyüncü,160000,0.3,2,defensa,Club Atlético de Madrid,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
