Nombre,Equipo,Precio,Puntos,Partidos,Minutos,Goles,Asistencias,Asistencias sin Gol,Centros,Despejes,Remates,Tiros,Recuperaciones,Perdidas,Penaltis fallados,Goles en contra,Rojas,Paradas,Penaltis cometidos,Amarillas,Seguna Amarilla,Penaltis provocados,Penaltis parados,Goles en PP
Borja Iglesias,Real Betis,606.075€,134,34,3015,1,1,1,0,143,9,7,214,365,0,53,0,0,1,10,0,0,0,0
Kenedy,Granada CF,3.150.874€,134,35,1410,11,0,1,2,9,9,13,28,150,0,10,0,0,0,2,0,4,0,0
Dest,FC Barcelona,1.954.748€,133,30,1475,4,3,6,18,12,37,12,112,226,0,21,0,0,1,3,0,0,0,0
Lucas Vázquez,Real Madrid,18.552.368€,132,35,1913,2,1,1,7,18,28,6,120,248,0,18,0,0,0,1,0,0,0,0
Nacho,Real Madrid,6.294.955€,132,26,1850,2,5,5,28,23,27,8,136,310,0,16,0,0,1,3,0,0,0,0
Fali,Cádiz CF,9.333.530€,131,33,2000,1,0,0,4,54,6,3,139,155,0,14,0,0,1,8,0,0,0,0
Kike Barja,C.A. Osasuna,650.725€,131,36,2639,0,0,1,5,116,4,2,147,240,0,44,0,0,1,11,0,0,0,0
A Perea,Cádiz CF,496.799€,128,38,1432,2,3,4,13,7,49,12,119,295,0,15,0,0,0,2,0,1,0,0
Mingueza,FC Barcelona,579.345€,127,32,1549,2,3,6,12,6,60,7,116,250,0,33,0,0,0,0,0,0,0,0
Tomás Pina,D. Alavés,15.762.352€,127,28,1812,2,2,2,3,39,8,6,132,147,0,20,0,0,0,4,0,0,0,0
Pulido,SD Huesca,551.478€,127,33,2588,1,1,1,1,42,12,1,198,208,0,40,0,0,0,12,0,0,0,0
Alex Fernández,Cádiz CF,641.517€,127,36,2887,1,0,1,2,94,6,4,181,300,0,45,0,0,1,4,1,0,0,0
Édgar Méndez,D. Alavés,2.839.088€,126,25,1949,4,1,1,31,14,12,4,152,303,0,29,0,0,0,1,0,0,0,0
Maxi Gómez,Valencia CF,506.640€,125,35,2104,5,1,2,13,14,16,11,122,336,0,29,0,0,0,10,1,0,0,0
A Espino,Cádiz CF,1.560.234€,124,32,2698,6,1,1,2,35,14,23,58,296,0,35,1,0,0,7,0,4,0,0
Germán,Granada CF,734.724€,123,33,2605,0,3,3,18,57,15,4,220,452,0,37,0,0,0,6,0,0,0,0
Gonzalo Verdú,Elche CF,1.106.746€,123,34,2546,3,1,0,0,124,1,5,138,259,0,50,1,0,0,10,0,0,0,0
Pere Milla,Elche CF,1.168.016€,122,36,2945,0,2,3,1,106,10,4,204,276,0,48,0,0,4,11,0,0,0,0
Diop,SD Eibar,586.725€,122,37,1983,4,3,4,2,16,17,13,96,272,0,29,0,0,1,6,0,0,0,0
Villalibre,Athletic Club,499.595€,122,34,2332,1,1,1,4,34,7,9,221,312,0,31,1,0,0,7,1,0,0,0
Weissman,Real Valladolid,775.826€,121,36,1585,4,2,4,2,15,3,15,30,194,0,15,0,0,0,1,0,0,0,0
Mendy,Real Madrid,645.392€,120,35,2139,6,1,4,1,6,7,19,67,162,0,36,0,0,0,3,0,1,0,0
Óliver Torres,Sevilla FC,12.713.248€,120,30,2207,1,0,0,5,23,38,2,146,252,0,16,0,0,0,3,0,0,0,0
Lemar,Atlético de Madrid,636.937€,120,38,1395,0,3,2,10,6,34,4,118,230,0,15,0,0,0,2,0,0,0,0
Yangel Herrera,Granada CF,4.062.488€,119,29,1374,1,3,3,18,5,39,12,82,216,0,11,0,0,0,4,0,1,0,0
Olivera,Getafe CF,1.405.616€,119,31,2249,3,1,1,2,28,21,7,170,361,0,35,0,0,1,7,0,1,0,0
Tello,Real Betis,638.046€,119,32,2619,0,0,2,14,48,27,4,198,456,0,24,0,0,1,7,0,0,0,0
Antonio Puertas,Granada CF,989.278€,119,33,1263,5,3,4,7,4,23,14,76,167,0,22,0,0,0,0,1,0,0,0
Budimir,C.A. Osasuna,572.788€,119,34,2076,3,5,2,9,18,41,11,101,366,0,38,0,0,0,5,0,0,0,0
Acuña,Sevilla FC,661.445€,118,32,1649,11,0,1,0,16,10,22,58,286,0,30,0,0,0,3,0,0,0,0
Lenglet,FC Barcelona,6.241.977€,118,31,2331,1,2,3,35,24,39,2,185,451,0,28,0,0,2,5,0,0,0,0
Alcácer,Villarreal CF,8.838.473€,117,35,2475,1,0,1,0,64,7,5,196,204,0,29,0,0,2,7,2,0,0,1
Saúl,Atlético de Madrid,7.172.119€,117,29,1555,6,4,5,0,6,8,20,40,119,1,22,0,0,0,0,0,0,0,0
Guevara,Real Sociedad,4.242.222€,115,34,2032,2,1,1,2,31,16,14,128,255,1,15,0,0,1,10,0,0,0,0
Monreal,Real Sociedad,641.213€,115,38,2084,1,1,0,1,32,12,2,198,300,0,27,0,0,0,5,0,0,0,0
Paulo Oliveira,SD Eibar,1.294.038€,115,32,2082,1,1,3,5,35,8,1,151,275,0,20,0,0,0,1,0,0,0,0
Cala,Cádiz CF,502.673€,114,34,2640,0,1,1,1,106,4,3,214,398,0,38,0,0,0,4,0,0,0,0
Ximo Navarro,D. Alavés,564.615€,114,29,2273,3,0,0,0,87,4,5,150,238,0,37,0,0,1,8,0,1,0,0
Luis Suárez,Granada CF,531.217€,114,35,2379,1,1,1,13,63,15,3,179,334,0,34,0,0,0,6,0,1,0,0
Alvaro Fernandez,SD Huesca,671.298€,114,27,1670,6,1,2,1,9,27,17,69,214,0,26,0,0,0,6,0,1,0,0
Fede Valverde,Real Madrid,751.920€,113,38,1980,0,0,0,0,15,0,0,180,202,0,32,0,65,0,0,0,0,0,0
Aritz,Real Sociedad,19.184.801€,112,24,1331,3,1,4,4,3,23,7,102,139,0,14,0,0,0,0,0,0,0,0
Murillo,RC Celta,1.807.974€,111,24,1886,1,0,0,1,61,4,1,125,203,0,15,0,0,1,5,0,0,0,1
Marcone,Elche CF,543.414€,111,32,2699,2,0,0,0,91,2,3,203,212,0,45,0,0,1,9,1,0,0,0
Arbilla,SD Eibar,502.876€,111,33,2650,0,0,1,1,29,12,0,229,241,0,43,0,0,2,8,1,0,0,0
Morcillo,Athletic Club,509.939€,110,34,2803,0,1,1,10,66,23,3,323,512,0,46,0,0,2,8,0,0,0,0
Víctor Ruiz,Real Betis,570.540€,110,38,1362,2,2,3,33,7,13,9,71,267,0,12,0,0,0,3,0,0,0,0
Chukwueze,Villarreal CF,820.176€,109,33,2065,2,0,0,0,76,7,4,167,185,0,30,0,0,0,8,0,0,0,2
Seoane,SD Huesca,1.530.938€,109,29,1361,4,2,2,5,3,38,11,75,255,0,19,0,0,0,0,0,1,0,0
