Nombre,Precio,Media,Total_puntos,posicion,link_equipo
A. Moleiro,↑ 7.456.000,"6,2",68,3,https://cdn.gomister.com/file/cdn-common/teams/11.png?version=20240121
Y. Berchiche,↑ 9.866.000,"4,5",68,2,https://cdn.gomister.com/file/cdn-common/teams/1.png?version=20240121
J. Araujo,↓ 5.672.000,"4,3",68,2,https://cdn.gomister.com/file/cdn-common/teams/11.png?version=20240121
L. Baptistão,↓ 3.507.000,"4,0",68,4,https://cdn.gomister.com/file/cdn-common/teams/21.png?version=20240121
S. Akieme,↑ 1.609.000,"4,0",68,2,https://cdn.gomister.com/file/cdn-common/teams/21.png?version=20240121
R. Riquelme,↑ 9.012.000,"4,5",67,3,https://cdn.gomister.com/file/cdn-common/teams/2.png?version=20240121
A. Suárez,↑ 3.623.000,"3,9",67,2,https://cdn.gomister.com/file/cdn-common/teams/11.png?version=20240121
T. Correia,↓ 3.910.000,"3,5",67,2,https://cdn.gomister.com/file/cdn-common/teams/19.png?version=20240121
G. Rodríguez,↓ 2.381.000,"4,7",66,3,https://cdn.gomister.com/file/cdn-common/teams/4.png?version=20240121
C. Starfelt,↑ 4.005.000,"4,1",66,2,https://cdn.gomister.com/file/cdn-common/teams/5.png?version=20240121
R. Martí,↓ 1.643.000,"4,1",66,4,https://cdn.gomister.com/file/cdn-common/teams/499.png?version=20240121
L. Maximiano,↓ 4.995.000,"3,9",66,1,https://cdn.gomister.com/file/cdn-common/teams/21.png?version=20240121
P. Espino,↑ 1.915.000,"3,7",66,2,https://cdn.gomister.com/file/cdn-common/teams/14.png?version=20240121
A. Muñoz,↑ 1.980.000,"3,1",66,2,https://cdn.gomister.com/file/cdn-common/teams/16.png?version=20240121
Ó. De Marcos,↓ 5.325.000,"4,6",65,2,https://cdn.gomister.com/file/cdn-common/teams/1.png?version=20240121
Raphinha,↓ 12.636.000,"4,3",65,4,https://cdn.gomister.com/file/cdn-common/teams/3.png?version=20240121
M. Vesga,↑ 3.103.000,"4,3",65,3,https://cdn.gomister.com/file/cdn-common/teams/1.png?version=20240121
Á. Correa,↓ 2.595.000,"4,3",65,4,https://cdn.gomister.com/file/cdn-common/teams/2.png?version=20240121
J. López,↑ 2.795.000,"3,8",65,2,https://cdn.gomister.com/file/cdn-common/teams/48.png?version=20240121
E. Loiodice,↓ 1.109.000,"3,1",65,3,https://cdn.gomister.com/file/cdn-common/teams/11.png?version=20240121
J. Latasa,↓ 2.616.000,"3,4",64,4,https://cdn.gomister.com/file/cdn-common/teams/9.png?version=20240121
J. Koundé,↓ 10.691.000,"3,9",63,2,https://cdn.gomister.com/file/cdn-common/teams/3.png?version=20240121
G. González,↓ 1.063.000,"3,5",63,2,https://cdn.gomister.com/file/cdn-common/teams/408.png?version=20240121
I. Miquel,↑ 1.318.000,"3,2",63,2,https://cdn.gomister.com/file/cdn-common/teams/10.png?version=20240121
E. Camavinga,↑ 10.810.000,"4,8",62,3,https://cdn.gomister.com/file/cdn-common/teams/15.png?version=20240121
Suso,↑ 8.969.000,"3,9",62,3,https://cdn.gomister.com/file/cdn-common/teams/17.png?version=20240121
M. Sánchez,↑ 4.508.000,"3,6",62,2,https://cdn.gomister.com/file/cdn-common/teams/5.png?version=20240121
M. Perrone,↑ 1.730.000,"3,4",61,3,https://cdn.gomister.com/file/cdn-common/teams/11.png?version=20240121
M. Gómez,↓ 5.276.000,"4,0",60,3,https://cdn.gomister.com/file/cdn-common/teams/50.png?version=20240121
I. Balliu,↓ 2.390.000,"3,5",60,2,https://cdn.gomister.com/file/cdn-common/teams/14.png?version=20240121
R. García de Haro,↑ 1.541.000,"3,3",60,4,https://cdn.gomister.com/file/cdn-common/teams/50.png?version=20240121
C. Portu,↓ 1.322.000,"3,3",60,3,https://cdn.gomister.com/file/cdn-common/teams/222.png?version=20240121
A. Embarba,↓ 1.122.000,"3,2",60,3,https://cdn.gomister.com/file/cdn-common/teams/21.png?version=20240121
D. Lopy,↑ 1.340.000,"3,3",59,3,https://cdn.gomister.com/file/cdn-common/teams/21.png?version=20240121
J. Hernández,↓ 160.000,"3,3",59,2,https://cdn.gomister.com/file/cdn-common/teams/499.png?version=20240121
I. Carcelén,↓ 2.722.000,"3,0",59,2,https://cdn.gomister.com/file/cdn-common/teams/499.png?version=20240121
V. Júnior,↑ 18.768.000,"5,3",58,4,https://cdn.gomister.com/file/cdn-common/teams/15.png?version=20240121
A. Ruibal,↓ 2.638.000,"4,8",58,2,https://cdn.gomister.com/file/cdn-common/teams/4.png?version=20240121
A. Diao,↑ 4.752.000,"4,5",58,3,https://cdn.gomister.com/file/cdn-common/teams/4.png?version=20240121
J. Luis Morales,↓ 4.962.000,"3,9",58,4,https://cdn.gomister.com/file/cdn-common/teams/20.png?version=20240121
M. Park,↑ 961.000,"3,6",58,4,https://cdn.gomister.com/file/cdn-common/teams/11.png?version=20240121
M. Valjent,↓ 943.000,"3,4",58,2,https://cdn.gomister.com/file/cdn-common/teams/408.png?version=20240121
U. Sadiq,↑ 5.725.000,"3,2",58,4,https://cdn.gomister.com/file/cdn-common/teams/16.png?version=20240121
R. Sánchez,↓ 861.000,"3,2",58,2,https://cdn.gomister.com/file/cdn-common/teams/10.png?version=20240121
C. Neva,↓ 1.114.000,"2,9",58,2,https://cdn.gomister.com/file/cdn-common/teams/10.png?version=20240121
J. Foyth,↓ 3.346.000,"4,8",57,2,https://cdn.gomister.com/file/cdn-common/teams/20.png?version=20240121
A. Tchouaméni,↑ 11.184.000,"4,1",57,3,https://cdn.gomister.com/file/cdn-common/teams/15.png?version=20240121
Í. Lekue,↑ 5.156.000,"3,6",57,2,https://cdn.gomister.com/file/cdn-common/teams/1.png?version=20240121
R. Marín,↑ 3.408.000,"3,4",57,2,https://cdn.gomister.com/file/cdn-common/teams/48.png?version=20240121
Á. Sola,↑ 187.000,"3,2",57,3,https://cdn.gomister.com/file/cdn-common/teams/48.png?version=20240121
V. Guaita,↑ 7.610.000,"4,7",56,1,https://cdn.gomister.com/file/cdn-common/teams/5.png?version=20240121
A. Catena,↓ 2.021.000,"3,5",56,2,https://cdn.gomister.com/file/cdn-common/teams/50.png?version=20240121
R. Peña,↑ 1.924.000,"3,5",56,2,https://cdn.gomister.com/file/cdn-common/teams/50.png?version=20240121
A. Balde,↑ 6.643.000,"3,3",56,2,https://cdn.gomister.com/file/cdn-common/teams/3.png?version=20240121
S. Ruiz,↑ 948.000,"3,1",56,3,https://cdn.gomister.com/file/cdn-common/teams/10.png?version=20240121
L. de la Torre,↓ 491.000,"2,9",56,3,https://cdn.gomister.com/file/cdn-common/teams/5.png?version=20240121
C. Riad,↓ 5.471.000,"4,2",55,2,https://cdn.gomister.com/file/cdn-common/teams/4.png?version=20240121
A. Herrera,↑ 2.626.000,"3,9",55,3,https://cdn.gomister.com/file/cdn-common/teams/1.png?version=20240121
N. Molina,↑ 3.426.000,"3,4",55,2,https://cdn.gomister.com/file/cdn-common/teams/2.png?version=20240121
A. Sánchez,↑ 1.061.000,"3,4",55,3,https://cdn.gomister.com/file/cdn-common/teams/408.png?version=20240121
Y. En Nesyri,↓ 5.179.000,"3,2",55,4,https://cdn.gomister.com/file/cdn-common/teams/17.png?version=20240121
A. Blanco,↓ 2.064.000,"2,9",55,3,https://cdn.gomister.com/file/cdn-common/teams/48.png?version=20240121
É. Capoue,↓ 1.418.000,"2,9",55,3,https://cdn.gomister.com/file/cdn-common/teams/20.png?version=20240121
R. García,↓ 265.000,"3,9",54,3,https://cdn.gomister.com/file/cdn-common/teams/50.png?version=20240121
M. Nastasić,↑ 2.448.000,"3,6",54,2,https://cdn.gomister.com/file/cdn-common/teams/408.png?version=20240121
L. Torró,↓ 1.245.000,"3,6",54,3,https://cdn.gomister.com/file/cdn-common/teams/50.png?version=20240121
N. Gudelj,↓ 2.509.000,"3,4",54,2,https://cdn.gomister.com/file/cdn-common/teams/17.png?version=20240121
A. Ezzalzouli,↓ 823.000,"3,4",54,4,https://cdn.gomister.com/file/cdn-common/teams/4.png?version=20240121
D. Djené,↑ 1.516.000,"3,2",54,2,https://cdn.gomister.com/file/cdn-common/teams/9.png?version=20240121
J. de Frutos,↑ 553.000,"2,8",54,3,https://cdn.gomister.com/file/cdn-common/teams/14.png?version=20240121
F. López,↑ 3.996.000,"4,4",53,3,https://cdn.gomister.com/file/cdn-common/teams/3.png?version=20240121
I. Muñoz,↑ 1.162.000,"4,4",53,3,https://cdn.gomister.com/file/cdn-common/teams/50.png?version=20240121
D. Lukébakio,↓ 1.030.000,"4,4",53,4,https://cdn.gomister.com/file/cdn-common/teams/17.png?version=20240121
V. Fernández,↑ 1.391.000,"3,3",53,3,https://cdn.gomister.com/file/cdn-common/teams/222.png?version=20240121
S. Camello,↑ 1.228.000,"3,3",53,4,https://cdn.gomister.com/file/cdn-common/teams/14.png?version=20240121
G. Paulista,↑ 4.486.000,"3,1",53,2,https://cdn.gomister.com/file/cdn-common/teams/19.png?version=20240121
I. Alejo,↓ 318.000,"2,8",53,3,https://cdn.gomister.com/file/cdn-common/teams/499.png?version=20240121
L. Pires,↓ 1.813.000,"3,5",52,2,https://cdn.gomister.com/file/cdn-common/teams/499.png?version=20240121
A. Ferreira,↓ 1.197.000,"3,5",52,1,https://cdn.gomister.com/file/cdn-common/teams/10.png?version=20240121
A. Rebbach,↓ 350.000,"3,5",52,3,https://cdn.gomister.com/file/cdn-common/teams/48.png?version=20240121
L. Boyé,↑ 4.886.000,"3,3",52,4,https://cdn.gomister.com/file/cdn-common/teams/10.png?version=20240121
F. Beltrán,↓ 174.000,"3,1",52,3,https://cdn.gomister.com/file/cdn-common/teams/5.png?version=20240121
S. Canós,↑ 2.526.000,"3,9",51,3,https://cdn.gomister.com/file/cdn-common/teams/19.png?version=20240121
C. Azpilicueta,↓ 1.125.000,"3,2",51,2,https://cdn.gomister.com/file/cdn-common/teams/2.png?version=20240121
A. Douvikas,↑ 1.069.000,"3,2",51,4,https://cdn.gomister.com/file/cdn-common/teams/5.png?version=20240121
Ó. Trejo,↑ 250.000,"3,2",51,3,https://cdn.gomister.com/file/cdn-common/teams/14.png?version=20240121
I. Akhomach,↑ 1.633.000,"3,0",51,4,https://cdn.gomister.com/file/cdn-common/teams/20.png?version=20240121
P. Barrios,↑ 5.097.000,"5,6",50,3,https://cdn.gomister.com/file/cdn-common/teams/2.png?version=20240121
R. Silva,↑ 5.593.000,"4,5",50,1,https://cdn.gomister.com/file/cdn-common/teams/4.png?version=20240121
M. Diakhaby,↓ 915.000,"4,2",50,2,https://cdn.gomister.com/file/cdn-common/teams/19.png?version=20240121
J. Sánchez,↑ 4.853.000,"3,6",50,2,https://cdn.gomister.com/file/cdn-common/teams/17.png?version=20240121
D. Sow,↓ 1.310.000,"3,1",50,3,https://cdn.gomister.com/file/cdn-common/teams/17.png?version=20240121
J. Moncayola,↑ 1.048.000,"2,9",50,3,https://cdn.gomister.com/file/cdn-common/teams/50.png?version=20240121
J. Iglesias,↑ 1.237.000,"3,5",49,2,https://cdn.gomister.com/file/cdn-common/teams/9.png?version=20240121
R. Albiol,↓ 1.340.000,"2,9",49,2,https://cdn.gomister.com/file/cdn-common/teams/20.png?version=20240121
L. Suárez,↑ 1.357.000,"5,3",48,4,https://cdn.gomister.com/file/cdn-common/teams/21.png?version=20240121
K. Arrizabalaga,↓ 6.254.000,"4,4",48,1,https://cdn.gomister.com/file/cdn-common/teams/15.png?version=20240121
J. Cuenca,↑ 1.064.000,"3,2",48,2,https://cdn.gomister.com/file/cdn-common/teams/20.png?version=20240121
