Nombre,Equipo,Precio,Puntos,Partidos,Minutos,Goles,Asistencias,Asistencias sin Gol,Centros,Despejes,Remates,Tiros,Recuperaciones,Perdidas,Penaltis fallados,Goles en contra,Rojas,Paradas,Penaltis cometidos,Amarillas,Seguna Amarilla,Penaltis provocados,Penaltis parados,Goles en PP
Miramón,Levante UD,1.514.352€,82,33,1976,1,0,1,15,52,17,2,176,316,0,43,0,0,0,5,0,0,0,0
Diego Glez,Elche CF,1.503.442€,81,36,1788,0,0,0,0,86,1,1,102,133,0,26,1,0,1,3,0,0,0,0
Hermoso,Atlético de Madrid,1.511.874€,81,33,1867,2,1,1,5,45,6,4,153,199,0,30,1,0,0,6,0,0,0,1
Escalante,D. Alavés,1.506.480€,81,16,1256,5,0,0,1,27,7,9,107,159,0,26,0,0,0,6,1,1,0,0
Yunus,Valencia CF,1.503.598€,81,34,1258,1,0,0,3,10,34,2,63,186,0,18,0,0,1,5,0,0,0,0
Quini,Granada CF,1.515.997€,80,36,2306,0,1,1,8,52,18,2,171,385,0,41,0,0,0,11,0,0,0,0
Pedri,FC Barcelona,23.493.509€,80,12,888,3,0,1,6,5,13,6,68,129,0,9,0,0,0,0,0,0,0,0
Lo Celso,Villarreal CF,14.003.790€,80,16,996,1,1,3,4,4,25,6,65,160,0,10,0,0,0,2,0,0,0,0
Víctor Ruiz,Real Betis,1.502.385€,80,31,1425,0,0,0,0,70,1,1,123,130,0,17,0,0,0,2,0,0,0,0
Gonalons,Granada CF,1.518.153€,80,26,1556,0,2,0,0,27,12,2,128,144,0,25,0,0,0,6,0,0,0,0
Rafinha,Real Sociedad,2.865.340€,79,17,1060,1,0,2,5,3,17,3,103,164,0,10,0,0,0,3,0,0,0,0
Campaña,Levante UD,1.507.670€,79,20,1427,2,2,1,9,19,20,6,131,213,1,28,1,0,0,6,0,0,0,0
Rodri,Real Betis,1.507.106€,79,33,881,1,2,3,2,4,15,9,56,118,0,14,0,0,0,1,0,0,0,0
Óscar Gil,RCD Espanyol,1.503.358€,79,23,1696,0,2,5,8,21,12,1,92,198,0,21,0,0,0,7,0,0,0,0
Aleix Vidal,RCD Espanyol,1.502.867€,79,32,1904,2,0,4,15,23,11,3,153,280,0,34,0,0,1,10,0,0,0,0
Alarcón,Cádiz CF,1.502.211€,79,28,1423,0,1,0,16,28,4,3,137,206,0,23,0,0,2,5,0,0,0,0
Jaume Costa,RCD Mallorca,1.519.522€,79,31,1832,0,4,3,17,53,8,2,123,308,0,32,1,0,0,5,0,0,0,0
Salvi Sánchez,Rayo Vallecano,1.502.099€,79,32,1400,2,1,2,11,10,8,8,85,195,1,20,0,0,0,1,1,0,0,0
Felipe,Atlético de Madrid,1.505.247€,79,34,1498,2,1,1,0,75,2,5,126,158,0,25,1,0,0,5,0,0,0,0
Iza,Cádiz CF,1.503.707€,78,29,1543,0,1,1,7,37,10,4,146,246,0,22,0,0,0,2,0,0,0,0
Claudio Bravo,Real Betis,1.509.757€,78,28,1457,0,0,1,0,15,0,0,111,176,0,19,0,39,1,2,0,0,0,0
Neva,Granada CF,1.502.070€,77,28,2116,0,0,1,20,59,9,1,139,321,0,36,0,0,0,1,0,0,0,0
Thierry Correia,Valencia CF,1.509.428€,77,20,1422,0,1,2,5,22,11,1,127,261,0,11,0,0,0,5,0,0,0,0
Carrillo,Elche CF,1.502.068€,77,35,1156,2,0,0,0,27,8,11,39,151,0,20,0,0,0,3,0,0,0,0
Diego Rico,Real Sociedad,1.512.006€,77,24,1646,0,0,0,15,39,11,1,140,337,0,13,0,0,1,4,0,0,0,0
Idrissi,Cádiz CF,1.514.349€,76,37,1034,1,1,2,15,4,31,11,58,168,0,12,0,0,0,3,0,1,0,0
Borja Mayoral,Getafe CF,1.657.186€,76,17,1040,5,1,1,4,3,13,6,48,128,0,10,0,0,0,3,0,0,0,0
Kike Barja,C.A. Osasuna,1.502.070€,76,28,864,2,0,2,1,4,33,6,70,218,0,11,0,0,0,2,0,0,0,0
Javi Martínez,C.A. Osasuna,1.504.668€,76,38,869,1,1,1,7,9,10,2,72,148,0,16,0,0,0,1,0,0,0,0
Brian Oliván,RCD Espanyol,1.509.219€,76,36,2186,1,0,3,18,59,6,8,142,403,1,39,0,0,1,7,0,1,0,0
Jonsson,Cádiz CF,1.502.087€,76,33,1312,0,1,1,3,30,7,0,117,101,0,19,0,0,0,3,0,0,0,0
Zarraga,Athletic Club,1.502.747€,75,33,1150,1,0,0,2,9,4,4,78,149,0,13,0,0,0,5,0,1,0,0
Muriqi,RCD Mallorca,1.640.443€,75,16,1439,5,3,1,1,30,10,18,50,277,0,28,0,0,0,6,0,0,0,0
Marcos André,Valencia CF,1.502.435€,74,31,939,1,3,3,0,12,14,8,40,127,0,16,0,0,0,3,0,1,0,0
Tomás Pina,D. Alavés,1.502.070€,73,33,1443,0,0,0,1,23,4,1,125,150,0,32,0,0,0,4,0,0,0,0
Unai López,Rayo Vallecano,1.503.851€,73,27,1156,0,0,2,26,6,12,7,84,202,0,24,0,0,0,5,0,0,0,0
Wass,Atlético de Madrid,1.535.450€,73,29,1637,1,1,0,11,19,8,9,111,179,0,29,0,0,0,7,0,0,0,0
Dani Alves,FC Barcelona,3.488.665€,72,17,1104,1,3,3,23,8,12,2,108,191,0,10,1,0,1,2,0,0,0,0
Escudero,Granada CF,1.523.078€,72,30,1427,2,1,1,9,26,3,4,116,246,0,22,0,0,1,6,0,0,0,0
Gudelj,Sevilla FC,1.502.381€,72,34,1040,0,0,0,0,36,0,1,95,83,0,9,0,0,0,5,0,0,0,0
Russo,RCD Mallorca,1.502.211€,71,31,1464,1,0,1,0,73,5,2,110,162,0,18,0,0,2,3,2,0,0,1
Montoro,Granada CF,1.502.070€,71,27,1330,1,1,2,16,26,0,5,95,203,0,30,0,0,0,5,0,0,0,0
Manu García,D. Alavés,1.505.603€,70,37,1072,0,1,1,25,2,31,1,90,211,0,15,0,0,0,3,0,0,0,0
Racic,Valencia CF,1.504.282€,70,37,1199,0,0,0,2,20,12,1,111,168,0,20,0,0,0,1,1,0,0,0
Malsa,Levante UD,1.502.069€,70,32,1137,1,2,3,0,11,7,3,120,133,0,32,0,0,0,7,0,0,0,0
Kiko Casilla,Elche CF,1.520.307€,69,34,1260,0,0,0,0,11,0,0,126,162,0,17,0,43,0,3,0,0,0,0
Pere Pons,D. Alavés,1.502.068€,69,30,1374,1,0,0,1,11,4,4,71,160,0,26,0,0,0,2,0,0,0,0
Unai García,C.A. Osasuna,1.502.078€,69,36,1407,0,0,0,1,76,3,0,99,155,0,18,0,0,1,5,0,0,0,0
Raíllo,RCD Mallorca,1.520.515€,69,17,1530,2,0,0,0,80,0,5,84,100,0,30,0,0,0,8,0,0,0,1
Battaglia,RCD Mallorca,1.509.972€,69,36,1172,0,0,0,0,37,10,1,91,118,0,25,0,0,1,3,1,0,0,0
Aitor Fdez,C.A. Osasuna,1.509.675€,68,35,1167,0,0,0,0,9,0,0,112,114,0,29,1,52,0,1,0,0,1,0
Hugo Mallo,RC Celta,1.502.655€,67,22,1828,1,1,4,11,49,8,2,123,348,0,25,1,0,1,3,1,0,0,0
Coquelin,Villarreal CF,1.524.763€,67,21,826,2,1,0,0,11,17,2,78,107,0,10,0,0,0,3,0,0,0,0
Mandi,Villarreal CF,1.502.822€,67,36,1374,1,0,0,0,46,0,3,69,77,0,15,0,0,0,3,0,0,0,1
Iborra,Villarreal CF,1.502.068€,67,38,1031,0,1,1,0,28,2,2,76,101,0,10,0,0,0,4,0,0,0,0
Morlanes,RCD Espanyol,1.502.073€,67,30,1137,2,0,1,2,17,13,2,92,114,0,23,1,0,0,6,0,0,0,0
Nico Williams,Athletic Club,1.525.062€,67,20,849,0,0,0,4,3,25,7,58,160,0,10,0,0,0,2,0,1,0,0
Helibelton Palacios,Elche CF,1.511.448€,66,31,1931,0,0,0,4,58,27,0,132,264,0,28,0,0,1,6,0,0,0,0
Yuri,Athletic Club,1.525.722€,65,17,1015,1,2,2,4,19,8,3,94,171,0,10,0,0,0,3,0,0,0,0
